normalized_street_name_season,normalized_street_name,year,total_area,snowfall,snowfall_factor
1-2 avenue_2021,1-2 avenue,2021,227016.26136605663,19689120.34827809,86.72999999999999
1-2 avenue_2022,1-2 avenue,2022,227016.26136605663,11155579.083528023,49.14
1-2 drive_2017,1-2 drive,2017,8358.331306604445,609071.602312266,72.87000000000002
1-2 drive_2018,1-2 drive,2018,8358.331306604445,672260.5869901958,80.43000000000004
1-2 drive_2019,1-2 drive,2019,8358.331306604445,401952.1525346078,48.09
1-2 drive_2021,1-2 drive,2021,8358.331306604445,724918.0742218035,86.72999999999999
1-2 drive_2022,1-2 drive,2022,8358.331306604445,410728.40040654247,49.14000000000001
1-2 place_2017,1-2 place,2017,1554.8194566,107313.63889453199,69.02
1-2 place_2018,1-2 place,2018,1554.8194566,125271.80361826198,80.57
1-2 place_2019,1-2 place,2019,1554.8194566,72050.33361884399,46.33999999999999
1-2 place_2021,1-2 place,2021,1554.8194566,131802.04533598202,84.77000000000001
1-2 place_2022,1-2 place,2022,1554.8194566,74227.08085808401,47.74000000000001
1-20 street loop_2017,1-20 street loop,2017,2807.176781608889,193751.34146664554,69.02000000000001
1-20 street loop_2018,1-20 street loop,2018,2807.176781608889,226174.2332942282,80.57000000000001
1-20 street loop_2019,1-20 street loop,2019,2807.176781608889,130084.57205975591,46.339999999999996
1-20 street loop_2021,1-20 street loop,2021,2807.176781608889,237964.37577698554,84.77000000000001
1-20 street loop_2022,1-20 street loop,2022,2807.176781608889,134014.61955400842,47.740000000000016
1-3 avenue_2017,1-3 avenue,2017,237992.4481113734,16426238.768646993,69.02
1-3 avenue_2018,1-3 avenue,2018,237992.4481113734,19175051.544333354,80.57
1-3 avenue_2019,1-3 avenue,2019,237992.4481113734,11028570.045481043,46.339999999999996
1-3 avenue_2021,1-3 avenue,2021,237992.4481113734,20174619.82640113,84.77000000000002
1-3 avenue_2022,1-3 avenue,2022,237992.4481113734,11361759.47283697,47.74000000000001
1-3 avenue bridge_2017,1-3 avenue bridge,2017,11061.18656774,806028.665191214,72.87000000000002
1-3 avenue bridge_2018,1-3 avenue bridge,2018,11061.18656774,889651.2356433285,80.43000000000002
1-3 avenue bridge_2019,1-3 avenue bridge,2019,11061.18656774,531932.4620426167,48.09
1-3 avenue bridge_2021,1-3 avenue bridge,2021,11061.18656774,959336.7110200902,86.72999999999999
1-3 avenue bridge_2022,1-3 avenue bridge,2022,11061.18656774,543546.7079387436,49.14
1-3 avenue bridge ped and bike path_2017,1-3 avenue bridge ped and bike path,2017,4271.650163906666,311275.1474438788,72.87
1-3 avenue bridge ped and bike path_2018,1-3 avenue bridge ped and bike path,2018,4271.650163906666,343568.8226830133,80.43000000000002
1-3 avenue bridge ped and bike path_2019,1-3 avenue bridge ped and bike path,2019,4271.650163906666,205423.65638227164,48.09000000000001
1-3 avenue bridge ped and bike path_2021,1-3 avenue bridge ped and bike path,2021,4271.650163906666,370480.2187156252,86.73
1-3 avenue bridge ped and bike path_2022,1-3 avenue bridge ped and bike path,2022,4271.650163906666,209908.8890543736,49.14
1-3 avenue east 128 street ped opas_2017,1-3 avenue east 128 street ped opas,2017,0.0,0.0,
1-3 avenue east 128 street ped opas_2018,1-3 avenue east 128 street ped opas,2018,0.0,0.0,
1-3 avenue east 128 street ped opas_2019,1-3 avenue east 128 street ped opas,2019,0.0,0.0,
1-3 avenue east 128 street ped opas_2021,1-3 avenue east 128 street ped opas,2021,0.0,0.0,
1-3 avenue east 128 street ped opas_2022,1-3 avenue east 128 street ped opas,2022,0.0,0.0,
1-3 drive_2017,1-3 drive,2017,6833.500595264444,497957.18837692006,72.87
1-3 drive_2018,1-3 drive,2018,6833.500595264444,549618.4528771194,80.43000000000002
1-3 drive_2019,1-3 drive,2019,6833.500595264444,328623.0436262672,48.09000000000001
1-3 drive_2021,1-3 drive,2021,6833.500595264444,592669.5066272852,86.72999999999999
1-3 drive_2022,1-3 drive,2022,6833.500595264444,335798.2192512948,49.14
1-3 place_2017,1-3 place,2017,974.8200143599998,67282.07739112718,69.02
1-3 place_2018,1-3 place,2018,974.8200143599998,78541.24855698519,80.57
1-3 place_2019,1-3 place,2019,974.8200143599998,45173.15946544238,46.33999999999999
1-3 place_2021,1-3 place,2021,974.8200143599998,82635.49261729719,84.77000000000001
1-3 place_2022,1-3 place,2022,974.8200143599998,46537.9074855464,47.74000000000001
1-4 avenue_2017,1-4 avenue,2017,9501.055465224445,655762.8482097911,69.02
1-4 avenue_2018,1-4 avenue,2018,9501.055465224445,765500.0388331334,80.57
1-4 avenue_2019,1-4 avenue,2019,9501.055465224445,440278.9102585007,46.339999999999996
1-4 avenue_2021,1-4 avenue,2021,9501.055465224445,805404.4717870762,84.77000000000001
1-4 avenue_2022,1-4 avenue,2022,9501.055465224445,453580.38790981506,47.74000000000001
1-4 drive_2017,1-4 drive,2017,4348.591287895555,316881.8471489491,72.87
1-4 drive_2018,1-4 drive,2018,4348.591287895555,349757.1972854396,80.43000000000002
1-4 drive_2019,1-4 drive,2019,4348.591287895555,209123.75503489727,48.09
1-4 drive_2021,1-4 drive,2021,4348.591287895555,377153.3223991815,86.73
1-4 drive_2022,1-4 drive,2022,4348.591287895555,213689.7758871876,49.14000000000001
1-5 avenue_2017,1-5 avenue,2017,185254.82289130447,13499518.944089359,72.87
1-5 avenue_2018,1-5 avenue,2018,185254.82289130447,14900045.405147623,80.43000000000002
1-5 avenue_2019,1-5 avenue,2019,185254.82289130447,8908904.432842832,48.089999999999996
1-5 avenue_2021,1-5 avenue,2021,185254.82289130447,16067150.789362835,86.72999999999999
1-5 avenue_2022,1-5 avenue,2022,185254.82289130447,9103421.996878702,49.14
1-5 drive_2017,1-5 drive,2017,1355.4050767466667,98768.36794252961,72.87
1-5 drive_2018,1-5 drive,2018,1355.4050767466667,109015.23032273444,80.43000000000002
1-5 drive_2019,1-5 drive,2019,1355.4050767466667,65181.43014074721,48.09
1-5 drive_2021,1-5 drive,2021,1355.4050767466667,117554.28230623838,86.72999999999999
1-5 drive_2022,1-5 drive,2022,1355.4050767466667,66604.6054713312,49.14
1-6 1 2 avenue_2017,1-6 1 2 avenue,2017,6334.57209284,437212.16584781674,69.02
1-6 1 2 avenue_2018,1-6 1 2 avenue,2018,6334.57209284,510376.47352011874,80.57
1-6 1 2 avenue_2019,1-6 1 2 avenue,2019,6334.57209284,293544.07078220556,46.339999999999996
1-6 1 2 avenue_2021,1-6 1 2 avenue,2021,6334.57209284,536981.6763100468,84.77000000000001
1-6 1 2 avenue_2022,1-6 1 2 avenue,2022,6334.57209284,302412.4717121816,47.74
1-6 avenue_2017,1-6 avenue,2017,137845.8191462811,9514118.437476322,69.02
1-6 avenue_2018,1-6 avenue,2018,137845.8191462811,11106237.648615869,80.57
1-6 avenue_2019,1-6 avenue,2019,137845.8191462811,6387775.259238666,46.339999999999996
1-6 avenue_2021,1-6 avenue,2021,137845.8191462811,11685190.08903025,84.77000000000001
1-6 avenue_2022,1-6 avenue,2022,137845.8191462811,6580759.4060434615,47.74000000000001
1-6 drive_2017,1-6 drive,2017,7793.579191293335,567918.1156695453,72.86999999999999
1-6 drive_2018,1-6 drive,2018,7793.579191293335,626837.574355723,80.43
1-6 drive_2019,1-6 drive,2019,7793.579191293335,374793.2233092965,48.09
1-6 drive_2021,1-6 drive,2021,7793.579191293335,675937.1232608708,86.72999999999999
1-6 drive_2022,1-6 drive,2022,7793.579191293335,382976.48146015446,49.14
1-65 street transverse_2017,1-65 street transverse,2017,17906.673731257775,1235918.6209314119,69.02000000000001
1-65 street transverse_2018,1-65 street transverse,2018,17906.673731257775,1442740.702527439,80.57000000000001
1-65 street transverse_2019,1-65 street transverse,2019,17906.673731257775,829795.2607064854,46.34
1-65 street transverse_2021,1-65 street transverse,2021,17906.673731257775,1517948.7321987217,84.77000000000001
1-65 street transverse_2022,1-65 street transverse,2022,17906.673731257775,854864.6039302464,47.740000000000016
1-7 avenue_2017,1-7 avenue,2017,82206.11152756444,5673865.817632497,69.02
1-7 avenue_2018,1-7 avenue,2018,82206.11152756444,6623346.4057758665,80.57
1-7 avenue_2019,1-7 avenue,2019,82206.11152756444,3809431.208187336,46.339999999999996
1-7 avenue_2021,1-7 avenue,2021,82206.11152756444,6968612.074191639,84.77000000000002
1-7 avenue_2022,1-7 avenue,2022,82206.11152756444,3924519.7643259275,47.740000000000016
1-7 avenue south_2017,1-7 avenue south,2017,18491.033629866666,1276251.1411333971,69.02
1-7 avenue south_2018,1-7 avenue south,2018,18491.033629866666,1489822.5795583571,80.57
1-7 avenue south_2019,1-7 avenue south,2019,18491.033629866666,856874.4984080212,46.33999999999999
1-7 avenue south_2021,1-7 avenue south,2021,18491.033629866666,1567484.9208037974,84.77000000000001
1-7 avenue south_2022,1-7 avenue south,2022,18491.033629866666,882761.9454898348,47.74000000000001
1-7 drive_2017,1-7 drive,2017,564.7521153111111,41153.48664272067,72.87000000000002
1-7 drive_2018,1-7 drive,2018,564.7521153111111,45423.012634472674,80.43000000000002
1-7 drive_2019,1-7 drive,2019,564.7521153111111,27158.929225311334,48.09
1-7 drive_2021,1-7 drive,2021,564.7521153111111,48980.95096093266,86.73
1-7 drive_2022,1-7 drive,2022,564.7521153111111,27751.918946388,49.14
1-79 street transverse_2017,1-79 street transverse,2017,10166.780341597778,701711.1791770787,69.02
1-79 street transverse_2018,1-79 street transverse,2018,10166.780341597778,819137.4921225329,80.57
1-79 street transverse_2019,1-79 street transverse,2019,10166.780341597778,471128.601029641,46.339999999999996
1-79 street transverse_2021,1-79 street transverse,2021,10166.780341597778,861837.9695572439,84.77000000000002
1-79 street transverse_2022,1-79 street transverse,2022,10166.780341597778,485362.0935078781,47.740000000000016
1-8 avenue_2017,1-8 avenue,2017,97651.60938678667,6739914.079876017,69.02000000000001
1-8 avenue_2018,1-8 avenue,2018,97651.60938678667,7867790.168293402,80.57
1-8 avenue_2019,1-8 avenue,2019,97651.60938678667,4525175.578983694,46.339999999999996
1-8 avenue_2021,1-8 avenue,2021,97651.60938678667,8277926.927717907,84.77000000000001
1-8 avenue_2022,1-8 avenue,2022,97651.60938678667,4661887.832125197,47.740000000000016
1-8 drive_2017,1-8 drive,2017,4348.591287895556,316881.84714894916,72.87
1-8 drive_2018,1-8 drive,2018,4348.591287895556,349757.19728543964,80.43000000000002
1-8 drive_2019,1-8 drive,2019,4348.591287895556,209123.7550348973,48.09
1-8 drive_2021,1-8 drive,2021,4348.591287895556,377153.32239918155,86.72999999999999
1-8 drive_2022,1-8 drive,2022,4348.591287895556,213689.77588718763,49.14
1-86 street transverse_2017,1-86 street transverse,2017,7260.717238831111,529088.4651936231,72.87
1-86 street transverse_2018,1-86 street transverse,2018,7260.717238831111,583979.4875191865,80.43000000000002
1-86 street transverse_2019,1-86 street transverse,2019,7260.717238831111,349167.8920153881,48.089999999999996
1-86 street transverse_2021,1-86 street transverse,2021,7260.717238831111,629722.0061238222,86.72999999999999
1-86 street transverse_2022,1-86 street transverse,2022,7260.717238831111,356791.6451161608,49.14
1-9 avenue_2017,1-9 avenue,2017,107918.56477884114,8188860.695418466,75.88
1-9 avenue_2018,1-9 avenue,2018,107918.56477884114,8898964.851663241,82.46000000000001
1-9 avenue_2019,1-9 avenue,2019,107918.56477884114,5431541.365319074,50.32999999999999
1-9 avenue_2021,1-9 avenue,2021,107918.56477884114,9412657.220010525,87.22
1-9 avenue_2022,1-9 avenue,2022,107918.56477884114,5461758.56345715,50.61
1-97 street transverse_2017,1-97 street transverse,2017,12500.293450344445,910896.3837265997,72.87
1-97 street transverse_2018,1-97 street transverse,2018,12500.293450344445,1005398.6022112039,80.43000000000002
1-97 street transverse_2019,1-97 street transverse,2019,12500.293450344445,601139.1120270644,48.09
1-97 street transverse_2021,1-97 street transverse,2021,12500.293450344445,1084150.4509483734,86.72999999999998
1-97 street transverse_2022,1-97 street transverse,2022,12500.293450344445,614264.420149926,49.13999999999999
1-a new street_2017,1-a new street,2017,851.3654083,62038.99730282101,72.87
1-a new street_2018,1-a new street,2018,851.3654083,68475.31978956902,80.43000000000002
1-a new street_2019,1-a new street,2019,851.3654083,40942.162485147004,48.09
1-a new street_2021,1-a new street,2021,851.3654083,73838.921861859,86.72999999999999
1-a new street_2022,1-a new street,2022,851.3654083,41836.09616386201,49.14000000000001
1-a road_2017,1-a road,2017,1433.7988165,104480.91975835501,72.87000000000002
1-a road_2018,1-a road,2018,1433.7988165,115320.43881109502,80.43000000000002
1-a road_2019,1-a road,2019,1433.7988165,68951.385085485,48.09
1-a road_2021,1-a road,2021,1433.7988165,124353.37135504499,86.73
1-a road_2022,1-a road,2022,1433.7988165,70456.87384280999,49.13999999999999
1-abraham kazan street_2017,1-abraham kazan street,2017,946.4091307200001,65321.158202294406,69.02
1-abraham kazan street_2018,1-abraham kazan street,2018,946.4091307200001,76252.1836621104,80.57
1-abraham kazan street_2019,1-abraham kazan street,2019,946.4091307200001,43856.5991175648,46.339999999999996
1-abraham kazan street_2021,1-abraham kazan street,2021,946.4091307200001,80227.10201113443,84.77000000000001
1-abraham kazan street_2022,1-abraham kazan street,2022,946.4091307200001,45181.57190057281,47.74
1-absecon road_2017,1-absecon road,2017,2378.635962233334,164173.4541133447,69.02
1-absecon road_2018,1-absecon road,2018,2378.635962233334,191646.6994771397,80.57
1-absecon road_2019,1-absecon road,2019,2378.635962233334,110225.99048989268,46.339999999999996
1-absecon road_2021,1-absecon road,2021,2378.635962233334,201636.97051851975,84.77000000000001
1-absecon road_2022,1-absecon road,2022,2378.635962233334,113556.08083701938,47.74000000000001
1-academy street_2017,1-academy street,2017,10634.541986817778,806949.045959733,75.88
1-academy street_2018,1-academy street,2018,10634.541986817778,876924.3322329939,82.46
1-academy street_2019,1-academy street,2019,10634.541986817778,535236.4981965388,50.33
1-academy street_2021,1-academy street,2021,10634.541986817778,927544.7520902465,87.22
1-academy street_2022,1-academy street,2022,10634.541986817778,538214.1699528476,50.60999999999999
1-adam clayton powell jr boulevard_2017,1-adam clayton powell jr boulevard,2017,98740.1497104111,7492402.560025994,75.88
1-adam clayton powell jr boulevard_2018,1-adam clayton powell jr boulevard,2018,98740.1497104111,8142112.7451205,82.46000000000001
1-adam clayton powell jr boulevard_2019,1-adam clayton powell jr boulevard,2019,98740.1497104111,4969591.734924991,50.33
1-adam clayton powell jr boulevard_2021,1-adam clayton powell jr boulevard,2021,98740.1497104111,8612115.857742056,87.22
1-adam clayton powell jr boulevard_2022,1-adam clayton powell jr boulevard,2022,98740.1497104111,4997238.976843906,50.61
1-adrian avenue_2017,1-adrian avenue,2017,3463.5966644533332,262817.71489871887,75.87999999999998
1-adrian avenue_2018,1-adrian avenue,2018,3463.5966644533332,285608.1809508219,82.46000000000001
1-adrian avenue_2019,1-adrian avenue,2019,3463.5966644533332,174322.82012193624,50.32999999999999
1-adrian avenue_2021,1-adrian avenue,2021,3463.5966644533332,302094.9010736197,87.22
1-adrian avenue_2022,1-adrian avenue,2022,3463.5966644533332,175292.6271879832,50.61
1-albany street_2017,1-albany street,2017,5368.089737184444,370505.5536604703,69.02
1-albany street_2018,1-albany street,2018,5368.089737184444,432506.99012495065,80.57000000000001
1-albany street_2019,1-albany street,2019,5368.089737184444,248757.27842112712,46.339999999999996
1-albany street_2021,1-albany street,2021,5368.089737184444,455052.9670211254,84.77000000000002
1-albany street_2022,1-albany street,2022,5368.089737184444,256272.60405318544,47.740000000000016
1-alexander hamilton brg_2017,1-alexander hamilton brg,2017,5698.807302771112,432425.49813427194,75.88
1-alexander hamilton brg_2018,1-alexander hamilton brg,2018,5698.807302771112,469923.65018650587,82.46
1-alexander hamilton brg_2019,1-alexander hamilton brg,2019,5698.807302771112,286820.97154847,50.33
1-alexander hamilton brg_2021,1-alexander hamilton brg,2021,5698.807302771112,497049.97294769634,87.22
1-alexander hamilton brg_2022,1-alexander hamilton brg,2022,5698.807302771112,288416.63759324595,50.61
1-allen drive_2017,1-allen drive,2017,564.7521153111111,41153.48664272067,72.87000000000002
1-allen drive_2018,1-allen drive,2018,564.7521153111111,45423.012634472674,80.43000000000002
1-allen drive_2019,1-allen drive,2019,564.7521153111111,27158.929225311334,48.09
1-allen drive_2021,1-allen drive,2021,564.7521153111111,48980.95096093266,86.73
1-allen drive_2022,1-allen drive,2022,564.7521153111111,27751.918946388,49.14
1-allen street_2017,1-allen street,2017,24938.64750616667,1721265.4508756234,69.01999999999998
1-allen street_2018,1-allen street,2018,24938.64750616667,2009306.8295718485,80.57
1-allen street_2019,1-allen street,2019,24938.64750616667,1155656.9254357636,46.339999999999996
1-allen street_2021,1-allen street,2021,24938.64750616667,2114049.149097749,84.77000000000001
1-allen street_2022,1-allen street,2022,24938.64750616667,1190571.031944397,47.74
1-alley_2017,1-alley,2017,15481.905133894445,1174766.9615599103,75.88
1-alley_2018,1-alley,2018,15481.905133894445,1276637.897340936,82.46
1-alley_2019,1-alley,2019,15481.905133894445,779204.2853889073,50.32999999999999
1-alley_2021,1-alley,2021,15481.905133894445,1350331.7657782733,87.22
1-alley_2022,1-alley,2022,15481.905133894445,783539.2188263978,50.61
1-amsterdam avenue_2017,1-amsterdam avenue,2017,227083.4901940267,17231095.235922743,75.87999999999998
1-amsterdam avenue_2018,1-amsterdam avenue,2018,227083.4901940267,18725304.60139944,82.46
1-amsterdam avenue_2019,1-amsterdam avenue,2019,227083.4901940267,11429112.061465362,50.32999999999999
1-amsterdam avenue_2021,1-amsterdam avenue,2021,227083.4901940267,19806222.014723007,87.21999999999998
1-amsterdam avenue_2022,1-amsterdam avenue,2022,227083.4901940267,11492695.438719692,50.61
1-amsterdam houses pedestrian path_2017,1-amsterdam houses pedestrian path,2017,7431.8001996855555,512942.849782297,69.02
1-amsterdam houses pedestrian path_2018,1-amsterdam houses pedestrian path,2018,7431.8001996855555,598780.1420886652,80.57
1-amsterdam houses pedestrian path_2019,1-amsterdam houses pedestrian path,2019,7431.8001996855555,344389.62125342863,46.339999999999996
1-amsterdam houses pedestrian path_2021,1-amsterdam houses pedestrian path,2021,7431.8001996855555,629993.7029273446,84.77000000000001
1-amsterdam houses pedestrian path_2022,1-amsterdam houses pedestrian path,2022,7431.8001996855555,354794.1415329885,47.740000000000016
1-amtrak brg_2017,1-amtrak brg,2017,2201.0401121422224,167014.92370935183,75.88
1-amtrak brg_2018,1-amtrak brg,2018,2201.0401121422224,181497.76764724765,82.46
1-amtrak brg_2019,1-amtrak brg,2019,2201.0401121422224,110778.34884411804,50.32999999999999
1-amtrak brg_2021,1-amtrak brg,2021,2201.0401121422224,191974.71858104464,87.22
1-amtrak brg_2022,1-amtrak brg,2022,2201.0401121422224,111394.64007551788,50.61
1-anaya place_2017,1-anaya place,2017,595.5107548666667,43394.86870713401,72.87
1-anaya place_2018,1-anaya place,2018,595.5107548666667,47896.930013926016,80.43000000000002
1-anaya place_2019,1-anaya place,2019,595.5107548666667,28638.112201538006,48.09
1-anaya place_2021,1-anaya place,2021,595.5107548666667,51648.647769585994,86.72999999999998
1-anaya place_2022,1-anaya place,2022,595.5107548666667,29263.398494148,49.13999999999999
1-andes road_2017,1-andes road,2017,3141.0353698288886,216794.2612255899,69.02
1-andes road_2018,1-andes road,2018,3141.0353698288886,253073.21974711353,80.57
1-andes road_2019,1-andes road,2019,3141.0353698288886,145555.5790378707,46.339999999999996
1-andes road_2021,1-andes road,2021,3141.0353698288886,266265.5683003949,84.77000000000001
1-andes road_2022,1-andes road,2022,3141.0353698288886,149953.02855563117,47.74000000000001
1-ann street_2017,1-ann street,2017,1649.7481440844447,113865.61690470837,69.02
1-ann street_2018,1-ann street,2018,1649.7481440844447,132920.20796888368,80.56999999999998
1-ann street_2019,1-ann street,2019,1649.7481440844447,76449.32899687316,46.339999999999996
1-ann street_2021,1-ann street,2021,1649.7481440844447,139849.15017403837,84.77
1-ann street_2022,1-ann street,2022,1649.7481440844447,78758.9763985914,47.74000000000001
1-arden street_2017,1-arden street,2017,5223.154288111111,396332.94738187105,75.88
1-arden street_2018,1-arden street,2018,5223.154288111111,430701.3025976422,82.46
1-arden street_2019,1-arden street,2019,5223.154288111111,262881.3553206322,50.330000000000005
1-arden street_2021,1-arden street,2021,5223.154288111111,455563.51700905105,87.22
1-arden street_2022,1-arden street,2022,5223.154288111111,264343.8385213033,50.61
1-asser levy place_2017,1-asser levy place,2017,1784.9470135333333,123197.04287407066,69.02
1-asser levy place_2018,1-asser levy place,2018,1784.9470135333333,143813.18088038068,80.57000000000001
1-asser levy place_2019,1-asser levy place,2019,1784.9470135333333,82714.44460713466,46.339999999999996
1-asser levy place_2021,1-asser levy place,2021,1784.9470135333333,151309.9583372207,84.77000000000002
1-asser levy place_2022,1-asser levy place,2022,1784.9470135333333,85213.37042608135,47.74000000000001
1-astor place_2017,1-astor place,2017,3477.1286547,239991.419747394,69.02
1-astor place_2018,1-astor place,2018,3477.1286547,280152.255709179,80.57
1-astor place_2019,1-astor place,2019,3477.1286547,161130.141858798,46.339999999999996
1-astor place_2021,1-astor place,2021,3477.1286547,294756.196058919,84.77000000000001
1-astor place_2022,1-astor place,2022,3477.1286547,165998.12197537802,47.74
1-attorney street_2017,1-attorney street,2017,4251.1617946199995,293415.18706467235,69.02
1-attorney street_2018,1-attorney street,2018,4251.1617946199995,342516.1057925333,80.57
1-attorney street_2019,1-attorney street,2019,4251.1617946199995,196998.83756269075,46.339999999999996
1-attorney street_2021,1-attorney street,2021,4251.1617946199995,360370.9853299374,84.77000000000001
1-attorney street_2022,1-attorney street,2022,4251.1617946199995,202950.46407515882,47.74000000000001
1-audubon avenue_2017,1-audubon avenue,2017,35157.08037833778,2667719.25910827,75.87999999999998
1-audubon avenue_2018,1-audubon avenue,2018,35157.08037833778,2899052.8479977334,82.46000000000001
1-audubon avenue_2019,1-audubon avenue,2019,35157.08037833778,1769455.8554417402,50.33
1-audubon avenue_2021,1-audubon avenue,2021,35157.08037833778,3066400.550598621,87.22
1-audubon avenue_2022,1-audubon avenue,2022,35157.08037833778,1779299.837947675,50.61
1-avenue a_2017,1-avenue a,2017,18713.891891753334,1291632.8183688151,69.02
1-avenue a_2018,1-avenue a,2018,18713.891891753334,1507778.269718566,80.57
1-avenue a_2019,1-avenue a,2019,18713.891891753334,867201.7502638494,46.339999999999996
1-avenue a_2021,1-avenue a,2021,18713.891891753334,1586376.6156639303,84.77000000000001
1-avenue a_2022,1-avenue a,2022,18713.891891753334,893401.1989123044,47.74000000000001
