normalized_street_name_season,snap_count,coverage,average_coverage
1-7 drive_2018,285,0.0,0.0
1-7 drive_2019,84,0.0,0.0
1-7 drive_2021,146,0.0,0.0
1-7 drive_2022,85,0.0,0.0
1-7 drive_2024,29,0.0,0.0
1-79 street transverse_2017,918,261.4,0.2847494553376906
1-79 street transverse_2018,1995,612.0,0.3067669172932331
1-79 street transverse_2019,588,208.1,0.35391156462585033
1-79 street transverse_2021,1019,349.4,0.3428851815505397
1-79 street transverse_2022,598,202.3,0.33829431438127094
1-79 street transverse_2024,348,88.3,0.25373563218390804
1-8 avenue_2017,7803,3749.2,0.48048186594899395
1-8 avenue_2018,14498,7317.9,0.5047523796385708
1-8 avenue_2019,4284,2149.6,0.5017740429505135
1-8 avenue_2021,7447,4273.2,0.5738149590439102
1-8 avenue_2022,4336,2551.3,0.588399446494465
1-8 avenue_2024,1479,819.2,0.5538877620013523
1-8 drive_2017,770,0.0,0.0
1-8 drive_2018,1425,14.5,0.010175438596491228
1-8 drive_2019,420,0.0,0.0
1-8 drive_2021,729,0.0,0.0
1-8 drive_2022,426,0.0,0.0
1-8 drive_2024,145,0.0,0.0
1-8 drive_2025,4,0.0,0.0
1-86 street transverse_2017,1071,252.8,0.23604108309990665
1-86 street transverse_2018,2280,654.2,0.28692982456140353
1-86 street transverse_2019,672,224.8,0.33452380952380956
1-86 street transverse_2021,1161,386.2,0.3326442721791559
1-86 street transverse_2022,688,235.2,0.34186046511627904
1-86 street transverse_2024,234,69.8,0.2982905982905983
1-86 street transverse_2025,2,0.0,0.0
1-9 avenue_2017,9333,4103.0,0.4396228436729883
1-9 avenue_2018,17301,7687.8,0.4443558175827987
1-9 avenue_2019,5376,2514.1,0.46765252976190474
1-9 avenue_2021,9284,4886.8,0.5263679448513572
1-9 avenue_2022,5773,3151.0,0.545816733067729
1-9 avenue_2024,2059,1064.7,0.5170956775133561
1-97 street transverse_2017,1683,345.9,0.20552584670231727
1-97 street transverse_2018,3135,731.9,0.2334609250398724
1-97 street transverse_2019,924,272.6,0.2950216450216451
1-97 street transverse_2021,1601,453.4,0.28319800124921923
1-97 street transverse_2022,946,241.1,0.25486257928118394
1-97 street transverse_2024,321,79.6,0.24797507788161993
1-a new street_2017,153,49.6,0.3241830065359477
1-a new street_2018,285,104.4,0.3663157894736842
1-a new street_2019,84,34.8,0.41428571428571426
1-a new street_2021,146,66.2,0.4534246575342466
1-a new street_2022,85,34.6,0.4070588235294118
1-a new street_2024,29,11.4,0.3931034482758621
1-a road_2017,306,0.0,0.0
1-a road_2018,570,0.0,0.0
1-a road_2019,168,0.0,0.0
1-a road_2021,292,0.0,0.0
1-a road_2022,170,0.0,0.0
1-a road_2024,58,0.0,0.0
1-a road_2025,1,0.0,0.0
1-abraham kazan street_2017,153,48.6,0.3176470588235294
1-abraham kazan street_2018,285,108.3,0.38
1-abraham kazan street_2019,84,28.9,0.34404761904761905
1-abraham kazan street_2021,146,65.3,0.4472602739726027
1-abraham kazan street_2022,86,36.3,0.42209302325581394
1-abraham kazan street_2024,31,7.0,0.22580645161290322
1-academy street_2017,1224,390.7,0.31919934640522873
1-academy street_2018,2256,759.3,0.3365691489361702
1-academy street_2019,672,189.9,0.2825892857142857
1-academy street_2021,1166,465.1,0.398885077186964
1-academy street_2022,688,241.5,0.35101744186046513
1-academy street_2024,232,78.7,0.3392241379310345
1-adam clayton powell jr boulevard_2017,15300,5362.8,0.35050980392156866
1-adam clayton powell jr boulevard_2018,28785,10777.0,0.37439638700712174
1-adam clayton powell jr boulevard_2019,8484,3269.6,0.38538425271098536
1-adam clayton powell jr boulevard_2021,14659,6684.8,0.45602019237328606
1-adam clayton powell jr boulevard_2022,8675,3910.6,0.45078962536023054
1-adam clayton powell jr boulevard_2024,3131,1372.1,0.4382305972532737
1-adam clayton powell jr boulevard_2025,6,0.0,0.0
1-adrian avenue_2017,306,85.6,0.2797385620915033
1-adrian avenue_2018,564,156.4,0.2773049645390071
1-adrian avenue_2019,168,59.5,0.3541666666666667
1-adrian avenue_2021,290,102.7,0.35413793103448277
1-adrian avenue_2022,172,59.6,0.34651162790697676
1-adrian avenue_2024,58,22.5,0.3879310344827586
1-albany street_2017,918,247.6,0.26971677559912854
1-albany street_2018,1704,500.1,0.29348591549295777
1-albany street_2019,516,161.8,0.31356589147286823
1-albany street_2021,872,336.2,0.38555045871559634
1-albany street_2022,514,191.8,0.37315175097276265
1-albany street_2024,174,56.0,0.3218390804597701
1-alexander hamilton brg_2017,2601,600.5,0.2308727412533641
1-alexander hamilton brg_2018,4836,1406.3,0.2907981803143093
1-alexander hamilton brg_2019,1428,363.8,0.25476190476190474
1-alexander hamilton brg_2021,2488,840.5,0.3378215434083601
1-alexander hamilton brg_2022,1438,492.9,0.34276773296244784
1-alexander hamilton brg_2024,493,116.2,0.23569979716024342
1-allen drive_2017,153,0.0,0.0
1-allen drive_2018,285,0.0,0.0
1-allen drive_2019,84,0.0,0.0
1-allen drive_2021,146,0.0,0.0
1-allen drive_2022,85,0.0,0.0
1-allen drive_2024,29,0.0,0.0
1-allen street_2017,3060,1350.8,0.44143790849673203
1-allen street_2018,5680,2582.7,0.4547007042253521
1-allen street_2019,1848,996.1,0.5390151515151516
1-allen street_2021,3210,1931.5,0.6017133956386292
1-allen street_2022,1852,1306.8,0.7056155507559395
1-allen street_2024,638,361.9,0.5672413793103448
1-alley_2017,153,29.7,0.19411764705882353
1-alley_2018,285,82.4,0.2891228070175439
1-amsterdam avenue_2017,20961,9409.8,0.44891942178331184
1-amsterdam avenue_2018,39270,18907.0,0.4814616755793226
1-amsterdam avenue_2019,11676,5725.2,0.49033915724563204
1-amsterdam avenue_2021,20452,11277.7,0.5514228437316644
1-amsterdam avenue_2022,12378,7459.9,0.6026740992082728
1-amsterdam avenue_2024,4205,2107.3,0.5011414982164091
1-amtrak brg_2017,306,0.0,0.0
1-amtrak brg_2018,564,0.0,0.0
1-amtrak brg_2019,168,0.0,0.0
1-amtrak brg_2021,290,5.2,0.01793103448275862
1-amtrak brg_2022,170,9.8,0.05764705882352942
1-amtrak brg_2024,58,0.0,0.0
1-anaya place_2017,153,0.0,0.0
1-anaya place_2018,285,0.0,0.0
1-anaya place_2019,84,0.0,0.0
1-anaya place_2021,146,0.0,0.0
1-anaya place_2022,85,0.0,0.0
1-anaya place_2024,29,0.0,0.0
1-andes road_2017,922,0.0,0.0
1-andes road_2018,2839,0.0,0.0
1-andes road_2019,860,0.0,0.0
1-andes road_2021,1456,0.0,0.0
1-andes road_2022,860,15.2,0.017674418604651163
1-andes road_2024,290,0.0,0.0
1-andes road_2025,8,0.0,0.0
1-ann street_2017,612,196.8,0.3215686274509804
1-ann street_2018,1137,361.4,0.31785400175901496
1-ann street_2019,344,113.7,0.3305232558139535
1-ann street_2021,584,215.8,0.3695205479452055
1-ann street_2022,336,117.7,0.3502976190476191
1-ann street_2024,116,29.3,0.25258620689655176
1-ann street_2025,1,0.0,0.0
1-arden street_2017,306,104.5,0.3415032679738562
1-arden street_2018,564,196.8,0.34893617021276596
1-arden street_2019,252,77.4,0.30714285714285716
1-arden street_2021,435,182.2,0.41885057471264364
1-arden street_2022,258,98.1,0.3802325581395349
1-arden street_2024,87,34.0,0.39080459770114945
1-astor place_2017,306,102.7,0.33562091503267977
1-astor place_2018,569,207.8,0.3652021089630932
1-astor place_2019,168,58.8,0.35
1-astor place_2021,290,116.8,0.4027586206896552
1-astor place_2022,172,72.8,0.4232558139534884
1-astor place_2024,58,23.2,0.39999999999999997
1-astor place_2025,1,0.0,0.0
1-attorney street_2017,612,139.1,0.2272875816993464
1-attorney street_2018,1131,264.8,0.2341290893015031
1-attorney street_2019,336,92.1,0.2741071428571428
1-attorney street_2021,584,171.3,0.2933219178082192
1-attorney street_2022,340,83.4,0.24529411764705883
1-attorney street_2024,116,22.8,0.19655172413793104
1-audubon avenue_2017,4743,1693.2,0.35698924731182796
1-audubon avenue_2018,8775,3343.6,0.381037037037037
1-audubon avenue_2019,2688,939.7,0.3495907738095238
1-audubon avenue_2021,4640,1842.4,0.3970689655172414
1-audubon avenue_2022,2838,1267.4,0.4465821000704722
1-audubon avenue_2024,957,422.3,0.4412748171368861
1-avenue a_2017,2295,943.6,0.4111546840958606
1-avenue a_2018,4230,1808.8,0.427612293144208
1-avenue a_2019,1260,511.1,0.4056349206349206
1-avenue a_2021,2175,1104.4,0.5077701149425288
1-avenue a_2022,1290,742.6,0.5756589147286821
1-avenue a_2024,435,226.6,0.5209195402298851
1-avenue b_2017,1836,645.4,0.35152505446623095
1-avenue b_2018,3666,1402.8,0.38265139116202945
1-avenue b_2019,1176,462.3,0.3931122448979592
1-avenue b_2021,2030,848.7,0.4180788177339902
1-avenue b_2022,1290,640.0,0.49612403100775193
1-avenue b_2024,435,191.0,0.43908045977011495
1-avenue c_2017,5661,1892.2,0.33425189895778135
1-avenue c_2018,11579,4078.0,0.3521893082304171
1-avenue c_2019,3444,1264.9,0.3672764227642277
1-avenue c_2021,6238,2630.5,0.42168964411670407
1-avenue c_2022,3691,1692.0,0.458412354375508
1-avenue c_2024,1247,552.1,0.44274258219727347
1-avenue c_2025,6,0.0,0.0
1-avenue c loop_2017,765,85.7,0.11202614379084967
1-avenue c loop_2018,1413,88.3,0.06249115357395612
1-avenue c loop_2019,420,15.5,0.036904761904761905
1-avenue c loop_2021,730,93.2,0.12767123287671234
1-avenue c loop_2022,425,89.9,0.21152941176470588
1-avenue c loop_2024,145,4.6,0.03172413793103448
1-avenue d_2017,1989,788.2,0.3962795374560081
1-avenue d_2018,3669,1473.8,0.40168983374216405
1-avenue d_2019,1092,436.9,0.40009157509157506
1-avenue d_2021,1886,838.7,0.4446977730646872
1-avenue d_2022,1117,505.8,0.45282005371530887
1-avenue d_2024,377,149.7,0.39708222811671084
1-avenue of the finest_2017,306,40.4,0.13202614379084968
1-avenue of the finest_2018,566,82.2,0.1452296819787986
1-avenue of the finest_2019,172,31.3,0.1819767441860465
1-avenue of the finest_2021,292,69.6,0.23835616438356164
1-avenue of the finest_2022,170,38.4,0.22588235294117645
1-avenue of the finest_2024,58,6.3,0.10862068965517241
1-b road_2017,1073,0.0,0.0
1-b road_2018,1995,0.0,0.0
1-b road_2019,588,0.0,0.0
1-b road_2021,1022,0.0,0.0
1-b road_2022,595,0.0,0.0
1-b road_2024,203,0.0,0.0
1-b road_2025,5,0.0,0.0
1-bank street_2017,918,235.1,0.25610021786492376
1-bank street_2018,1698,500.7,0.2948763250883392
1-bank street_2019,504,129.7,0.2573412698412698
1-bank street_2021,876,301.0,0.3436073059360731
1-bank street_2022,513,185.5,0.361598440545809
1-bank street_2024,174,56.7,0.3258620689655173
1-barclay street_2017,918,307.2,0.33464052287581697
1-barclay street_2018,1705,605.6,0.35519061583577716
1-barclay street_2019,516,200.2,0.38798449612403096
1-barclay street_2021,876,400.4,0.45707762557077625
1-barclay street_2022,514,250.3,0.48696498054474713
1-barclay street_2024,174,78.5,0.4511494252873563
1-barrow street_2017,1224,338.9,0.2768790849673202
1-barrow street_2018,2258,667.7,0.29570416297608504
1-barrow street_2019,678,204.2,0.3011799410029498
1-barrow street_2021,1313,502.3,0.38255902513328255
1-barrow street_2022,760,268.8,0.3536842105263158
1-barrow street_2024,261,87.9,0.33678160919540234
1-barry road_2017,309,0.0,0.0
1-barry road_2018,568,0.0,0.0
1-barry road_2019,172,0.0,0.0
1-barry road_2021,291,0.0,0.0
1-barry road_2022,171,0.0,0.0
1-barry road_2024,58,0.0,0.0
1-barry road_2025,2,0.0,0.0
1-baruch drive_2017,765,221.7,0.28980392156862744
1-baruch drive_2018,1410,389.8,0.2764539007092199
1-baruch drive_2019,420,137.6,0.3276190476190476
1-baruch drive_2021,730,253.2,0.34684931506849315
1-baruch drive_2022,424,148.7,0.3507075471698113
1-baruch drive_2024,145,42.9,0.29586206896551726
1-baruch place_2017,1683,266.1,0.15811051693404635
1-baruch place_2018,3102,435.8,0.14049000644745327
1-baruch place_2019,924,131.4,0.14220779220779223
1-baruch place_2021,1603,294.5,0.18371802869619464
1-baruch place_2022,934,153.1,0.1639186295503212
1-baruch place_2024,319,4.3,0.01347962382445141
1-baruch place_2025,2,0.0,0.0
1-battery park underpass_2017,1683,357.6,0.21247771836007132
1-battery park underpass_2018,4835,872.3,0.18041365046535676
1-battery park underpass_2019,1462,267.4,0.1829001367989056
1-battery park underpass_2021,2481,786.9,0.3171704957678355
1-battery park underpass_2022,1451,394.9,0.27215713301171607
1-battery park underpass_2024,493,100.5,0.20385395537525355
1-battery park underpass_2025,4,0.0,0.0
1-battery place_2017,2601,912.4,0.3507881584006151
1-battery place_2018,4830,1776.6,0.36782608695652175
1-battery place_2019,1462,632.9,0.4329001367989056
1-battery place_2021,2481,1155.4,0.46569931479242244
1-battery place_2022,1450,646.8,0.44606896551724134
1-battery place_2024,495,203.4,0.41090909090909095
1-battery place_2025,3,2.0,0.6666666666666666
1-baxter street_2017,1224,381.8,0.3119281045751634
1-baxter street_2018,2272,786.8,0.3463028169014084
1-baxter street_2019,672,238.7,0.3552083333333333
1-baxter street_2021,1160,436.3,0.3761206896551724
1-baxter street_2022,688,274.0,0.39825581395348836
1-baxter street_2024,232,86.5,0.3728448275862069
1-bayard street_2017,612,127.3,0.2080065359477124
1-bayard street_2018,1136,258.0,0.22711267605633803
1-bayard street_2019,336,77.8,0.23154761904761903
1-bayard street_2021,582,164.9,0.2833333333333333
1-bayard street_2022,345,99.2,0.28753623188405797
1-bayard street_2024,116,33.0,0.28448275862068967
1-beach street_2017,918,263.5,0.28703703703703703
1-beach street_2018,1710,535.0,0.3128654970760234
1-beach street_2019,516,183.1,0.35484496124031006
1-beach street_2021,876,336.3,0.3839041095890411
1-beach street_2022,516,208.7,0.40445736434108526
1-beach street_2024,174,65.8,0.37816091954022985
1-beak street_2017,153,43.2,0.2823529411764706
1-beak street_2018,282,71.0,0.25177304964539005
1-beak street_2019,84,20.3,0.24166666666666667
1-beak street_2021,146,53.6,0.36712328767123287
1-beak street_2022,85,28.2,0.3317647058823529
1-beak street_2024,29,9.6,0.3310344827586207
1-beaver street_2017,765,248.6,0.3249673202614379
1-beaver street_2018,1420,463.3,0.3262676056338028
1-beaver street_2019,430,153.4,0.35674418604651165
1-beaver street_2021,731,285.3,0.3902872777017784
1-beaver street_2022,429,166.2,0.3874125874125874
1-beaver street_2024,147,58.7,0.3993197278911565
1-beaver street_2025,1,0.0,0.0
1-bedford street_2017,1377,369.0,0.2679738562091503
1-bedford street_2018,2538,850.0,0.33490937746256894
1-bedford street_2019,760,233.0,0.30657894736842106
1-bedford street_2021,1314,459.2,0.34946727549467277
1-bedford street_2022,765,257.1,0.33607843137254906
1-bedford street_2024,261,64.9,0.24865900383141765
1-bedford street_2025,1,0.0,0.0
1-beekman place_2017,306,76.6,0.2503267973856209
1-beekman place_2018,570,155.2,0.27228070175438596
1-beekman place_2019,168,45.5,0.2708333333333333
1-beekman place_2021,290,99.6,0.34344827586206894
1-beekman place_2022,172,62.1,0.36104651162790696
1-beekman place_2024,58,14.5,0.25
1-beekman street_2017,1224,377.7,0.30857843137254903
1-beekman street_2018,2274,752.8,0.3310466138962181
1-beekman street_2019,688,226.0,0.32848837209302323
1-beekman street_2021,1168,456.2,0.39058219178082193
1-beekman street_2022,680,235.4,0.3461764705882353
1-beekman street_2024,232,86.7,0.3737068965517242
1-bennett avenue_2017,612,209.7,0.3426470588235294
1-bennett avenue_2018,1692,534.8,0.31607565011820327
1-bennett avenue_2019,588,177.2,0.30136054421768704
1-bennett avenue_2021,1019,416.5,0.40873405299313054
1-bennett avenue_2022,596,247.8,0.41577181208053693
1-bennett avenue_2024,203,68.5,0.3374384236453202
1-benson place_2017,153,30.2,0.19738562091503267
1-benson place_2018,285,48.0,0.16842105263157894
1-benson place_2019,86,10.4,0.12093023255813953
1-benson place_2021,146,49.0,0.3356164383561644
1-benson place_2022,85,14.2,0.16705882352941176
1-benson place_2024,29,0.0,0.0
1-berry place_2017,310,0.0,0.0
1-berry place_2018,570,0.0,0.0
1-berry place_2019,168,0.0,0.0
1-berry place_2021,292,0.0,0.0
1-berry place_2022,170,0.0,0.0
1-berry place_2024,58,0.0,0.0
1-berry place_2025,1,0.0,0.0
1-bethesda terrace path_2024,58,8.2,0.14137931034482756
1-bethesda terrace underpass_2019,168,0.0,0.0
1-bethesda terrace underpass_2021,290,0.0,0.0
1-bethesda terrace underpass_2022,172,0.0,0.0
1-bethesda terrace underpass_2024,58,1.8,0.03103448275862069
1-bethesda terrace underpass_2025,1,0.0,0.0
1-bethune street_2017,153,43.5,0.28431372549019607
1-bethune street_2018,566,176.8,0.31236749116607776
1-bethune street_2019,336,101.2,0.3011904761904762
1-bethune street_2021,581,210.8,0.3628227194492255
1-bethune street_2022,344,140.3,0.4078488372093024
1-bethune street_2024,116,35.8,0.30862068965517236
1-bialystoker place_2017,612,168.9,0.27598039215686276
1-bialystoker place_2018,1140,367.7,0.3225438596491228
1-bialystoker place_2019,336,97.2,0.2892857142857143
1-bialystoker place_2021,583,242.3,0.4156089193825043
1-bialystoker place_2022,510,205.2,0.4023529411764706
1-bialystoker place_2024,174,58.8,0.33793103448275863
1-bialystoker place_2025,1,0.0,0.0
1-bike path_2018,285,0.0,0.0
1-bike path_2019,84,6.5,0.07738095238095238
1-bike path_2021,145,0.0,0.0
1-bike path_2022,86,0.0,0.0
1-bike path_2024,58,0.0,0.0
1-bk battery tnnl pedestrian opas_2017,459,17.3,0.03769063180827887
